GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
100689102,Fth1,0,0
100753846,Ftl,0,0
100752441,Fuca1,0,0
100756134,Fuca2,0,0
100689278,Fut,0,0
100757047,Fut1,0,0
100760260,Fut10,0,0
100758336,Fut11,0,0
100751185,Fut2,0,0
100754814,Fut4,0,0
100772214,Fut7,0,0
100751648,Fut8,0,0
100689036,Fut9,0,0
100763214,G6pc1,0,0
100762184,G6pc2,0,0
100753219,G6pc3,0,0
100689469,G6pd,0,0
100755105,Gaa,0,0
100765882,Gad1,0,0
100757642,Gad2,0,0
100756367,Gal3st1,0,0
100755837,Gal3st2,0,0
100751905,Galc,0,0
100757135,Galk1,1,0
100752083,Galk2,0,0
100756945,Galm,0,0
100753973,Galns,0,0
100763868,Galnt1,0,0
100768523,Galnt10,0,0
100758359,Galnt11,0,0
100772146,Galnt12,0,0
100768831,Galnt13,0,0
100759781,Galnt14,0,0
100766936,Galnt15,0,0
100764829,Galnt16,0,0
100750837,Galnt17,0,0
100767393,Galnt18,0,0
100767525,Galnt2,0,0
100753226,Galnt3,0,0
100757219,Galnt5,0,0
100751126,Galnt6,0,0
100751126,Galnt6,0,0
100762043,Galnt7,0,0
100764127,Galnt8,0,0
100773797,Galnt9,0,0
100761752,Galntl6,0,0
100752522,Galt,0,0
100755964,Gamt,0,0
100752162,Ganab,1,0
100770033,Ganc,0,0
100736557,Gapdh,1,0
100767862,Gapdhs,1,0
100751073,Gars1,1,1
100689446,Gart,1,0
100771783,Gatm,0,0
100756635,Gba1,0,0
100772646,Gba2,0,0
100772279,Gbe1,0,1
100771256,Gbgt1,1,0
100763450,Gc,0,0
100752849,Gcat,0,0
100757019,Gcdh,0,0
100750667,Gch1,0,0
100763110,Gck,0,0
100752019,Gclc,1,0
100750530,Gclm,0,0
100767124,Gcnt1,0,0
100774815,Gcnt3,0,0
100757239,Gcnt4,0,0
100765652,Gcsh,0,0
100760443,Gda,0,0
100750723,Gde1,0,0
100772319,Gdpgp1,0,0
100767191,Gfpt2,0,0
100689348,Gfus,0,0
100774679,Ggct,0,0
100751581,Ggh,0,0
100767405,Ggps1,1,0
100763802,Ggt1,0,0
100764088,Ggt5,0,0
100758668,Ggt6,0,0
100752303,Ggt7,0,0
100753140,Gk,0,0
100770084,Gk2,0,0
100752709,Gla,0,0
100767446,Glb1,0,0
100768265,Glb1l,0,0
100754874,Glce,0,0
100762555,Gldc,0,0
100764266,Glo1,0,0
100757688,Glrx,0,0
100766426,Glrx2,0,0
100689202,Gls,0,0
100774486,Gls2,0,0
100759948,Glud1,0,0
100764163,Glul,0,0
100766079,Glyctk,1,0
100759507,Gm2a,0,0
100689436,Gmds,0,0
100765276,Gmppa,0,0
100760573,Gmppb,1,0
100765304,Gmpr,0,0
100758075,Gmpr2,0,0
100756126,Gmps,1,1
100689450,Gne,1,0
100765024,Gnpat,1,0
100689210,Gnpda1,0,0
100761133,Gnpda2,0,0
100761974,Gnpnat1,1,0
100774953,Gnptab,0,0
100772246,Gnptg,0,0
100770659,Gns,0,0
100762297,Got1,0,0
100750547,Got1l1,0,0
100762838,Got2,0,0
100766326,Gpaa1,0,0
100760138,Gpam,0,0
100750356,Gpat2,0,0
100758424,Gpat3,0,0
100751939,Gpat4,0,0
100772527,Gpcpd1,0,0
100772179,Gpd1,0,0
100773663,Gpd1l,1,0
100766128,Gpd2,0,0
100689468,Gpi,0,0
100760506,Gpt,0,0
100768176,Gpt2,0,0
100771188,Gpx1,0,0
100751356,Gpx2,0,0
100764638,Gpx3,0,0
100765235,Gpx4,0,0
100766810,Gpx5,0,0
100766519,Gpx6,0,0
100756109,Gpx7,0,0
100752744,Grhpr,0,0
100757970,Gsr,0,0
100753200,Gss,0,0
100758427,Gsto1,0,0
100689311,Gstp1,0,0
100764455,Gstz1,0,0
100768699,Gucy1a1,0,0
100769238,Gucy1a2,0,0
100772822,Gucy1b1,0,0
100757969,Gucy2c,0,0
100754759,Gucy2d,0,0
100770439,Guk1,1,1
100757362,Gusb,0,0
100760543,Gxylt1,0,0
100758512,Gxylt2,0,0
100751671,Gyg1,0,1
100769788,Gys1,0,0
100770628,Gys2,0,0
100770090,H6pd,0,0
100759566,Haao,0,0
100772448,Hacd1,0,0
100765668,Hacd2,1,0
100752449,Hacd3,0,0
100774830,Hacd4,0,0
100767514,Hacl1,0,0
100761491,Hadh,0,0
100761491,Hadh,0,0
100757947,Hadha,0,0
100758239,Hadhb,0,0
100765715,Hagh,0,0
100772931,Haghl,0,0
100753802,Hal,0,0
100771827,Hao1,0,0
100773170,Hao2,0,0
100757635,Hars1,1,1
100757923,Hars2,1,0
100751055,Has2,0,0
100751055,Has2,0,0
100757895,Has3,0,0
100753889,Hdc,0,0
100764720,Hddc3,0,0
100753439,Heph,0,0
100750552,Hexa,0,0
100773287,Hexd,0,0
100762426,Hgd,0,0
100752593,Hgsnat,1,0
100760581,Hibadh,0,0
100759780,Hibch,0,0
100765413,Hk1,0,0
100772205,Hk2,0,0
100765901,Hk3,0,0
100765703,Hkdc1,0,0
100752840,Hlcs,0,0
100757819,Hmbs,1,0
100755385,Hmgcl,0,0
100763147,Hmgcll1,0,0
100756363,Hmgcr,1,1
100762235,Hmgcs1,1,0
100774684,Hmgcs2,0,0
100756872,Hmox1,0,0
100773727,Hmox2,0,0
100759109,Hoga1,0,0
100768220,Hpd,0,0
100752686,Hpdl,0,0
100755116,Hpgd,0,0
100768035,Hpgds,0,0
100769768,Hprt1,0,0
100755610,Hpse,0,0
100759378,Hs3st1,0,0
100765580,Hs3st2,0,0
100763965,Hs3st5,0,0
100766299,Hs3st6,0,0
100689173,Hs6st1,0,0
100763313,Hs6st2,0,0
100765877,Hs6st3,0,0
100762502,Hsd11b1,0,0
100766725,Hsd11b2,0,0
100750866,Hsd17b1,0,0
100757689,Hsd17b10,1,0
100751291,Hsd17b12,0,0
100751897,Hsd17b2,0,0
100767644,Hsd17b3,0,0
103161104,Hsd17b4,1,0
100767580,Hsd17b7,1,1
100766230,Hsd17b8,0,0
100754260,Hsd3b7,0,0
100752718,Hyal1,0,0
100752414,Hyal2,0,0
100753318,Hyal3,0,0
100758272,Hyal4,0,0
100774763,Hyi,0,0
100756410,Hykk,0,0
100754316,Iars1,1,1
100758227,Iars2,1,0
100758958,Idh1,0,0
103158535,Idh2,0,0
100754480,Idh3a,0,0
100771661,Idh3b,0,0
100751753,Idh3g,1,0
100752366,Idi1,1,0
100752668,Idi2,0,0
100763818,Idnk,0,0
100754402,Ido1,0,0
100754111,Ido2,0,0
100763345,Ids,0,0
100767663,Idua,0,0
100773063,Il4i1,1,0
100760520,Impa1,0,0
100763112,Impa2,0,0
100760550,Impdh1,0,0
100689398,Impdh2,1,0
100773805,Inmt,0,0
107977052,Inpp1,0,0
100767245,Inpp4a,0,0
100771589,Inpp4b,0,0
100760037,Inpp5a,0,0
100751850,Inpp5b,0,0
100764735,Inpp5d,0,0
100759837,Inpp5e,0,0
100761777,Inpp5j,0,0
100764873,Inpp5k,0,0
100772102,Inppl1,0,0
100760280,Ip6k1,0,0
100759816,Ip6k2,0,0
100772883,Ip6k3,0,0
100772629,Ipmk,0,0
100755765,Ippk,0,0
100767831,Isyna1,0,1
100768122,Itpa,0,0
100768438,Itpk1,0,0
100772914,Itpka,0,0
100774983,Itpkb,0,0
100770355,Itpkc,0,0
100759847,Ivd,0,0
100766627,Kars1,1,1
100764690,Kcnj11,0,0
100770058,Kcnj8,0,0
100774578,Kdsr,1,1
